,takeout_price,eatin_price
count,53.0,49.0
mean,220.54716981132074,227.10204081632654
std,133.77299457803304,141.53036259903726
min,45.0,46.0
25%,172.0,176.0
50%,183.0,187.0
75%,248.0,253.0
max,879.0,895.0
