,Mister Donut,Krispy Kreme
count,54.0,34.0
mean,228.85185185185185,374.1764705882353
std,145.88292118894228,99.38522254285617
min,45.0,216.0
25%,172.0,313.0
50%,183.0,356.0
75%,248.0,388.75
max,879.0,626.0
